municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
A BROWN;0004PP0002;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;103;1;601555;140;0;149;289;-58.39182;-34.81509;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004PP0003;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;104;1;608666;0;0;676;676;-58.39416;-34.82544;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004PP0004;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;105;1;601005;0;0;744;744;-58.38846;-34.89405;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004PP0005;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;106;1;601901;0;0;307;307;-58.39314;-34.79322;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004PP0006;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;107;1;601900;0;493;0;493;-58.39601;-34.80010;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004PP0007;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;108;1;601904;0;0;310;310;-58.37455;-34.78594;Urbano;Urbano;88622;12;12;6;4-6;10
A BROWN;0004PP0008;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;109;1;609938;275;0;401;676;-58.36371;-34.84287;Urbano;Urbano;88622;12;12;4;4-4;20
A BROWN;0004PP0009;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;110;1;600878;0;0;665;665;-58.38375;-34.86099;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004PP0010;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;111;2;609832;0;0;485;485;-58.33618;-34.79818;Urbano;Urbano;88622;12;12;5;4-5;13
A BROWN;0004PP0011;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;112;2;603725;248;0;248;496;-58.35437;-34.85673;Urbano;Urbano;88622;12;12;4;4-4;20
A BROWN;0004PP0012;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;113;2;606578;0;0;391;391;-58.39434;-34.80833;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004PP0013;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;114;2;610871;0;0;379;379;-58.38458;-34.82413;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004PP0014;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;115;2;606994;291;0;307;598;-58.35879;-34.78071;Urbano;Urbano;88622;12;12;6;4-6;10
A BROWN;0004PP0015;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;116;2;606998;179;0;210;389;-58.34664;-34.76215;Urbano;Urbano;88622;12;12;9;4-9;11
A BROWN;0004PP0016;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;117;2;601903;0;0;378;378;-58.38761;-34.79677;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004PP0017;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;118;2;607586;280;0;400;680;-58.41774;-34.81592;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004PP0018;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;119;2;610182;71;0;496;567;-58.35482;-34.76651;Urbano;Urbano;88622;12;12;6;4-6;10
A BROWN;0004PP0019;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;120;2;607594;0;0;340;340;-58.36975;-34.81892;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004PP0020;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;121;2;601455;200;0;400;600;-58.40921;-34.82607;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004PP0021;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;122;2;600877;89;0;514;603;-58.39318;-34.86025;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004PP0022;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;123;2;607607;0;0;457;457;-58.36245;-34.80251;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004PP0023;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;124;2;607289;313;0;682;995;-58.39344;-34.87862;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004PP0024;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;125;2;601006;255;0;832;1087;-58.39708;-34.89645;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004PP0025;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;126;2;606478;0;0;218;218;-58.37170;-34.80173;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004PP0026;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;127;2;604354;154;0;340;494;-58.38792;-34.86685;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004PP0027;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;128;2;607597;0;0;425;425;-58.38465;-34.78559;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004PP0029;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;130;2;607242;228;0;346;574;-58.31853;-34.78692;Urbano;Urbano;88622;12;12;2;4-2;20
A BROWN;0004PP0030;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;131;2;602720;186;0;186;372;-58.39295;-34.84926;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004PP0031;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;132;2;607006;978;0;1081;2059;-58.34740;-34.87819;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004PP0032;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;133;2;602638;438;0;438;876;-58.34705;-34.78205;Urbano;Urbano;88622;12;12;7;4-7;12
A BROWN;0004PP0034;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;135;2;601718;250;0;250;500;-58.41062;-34.80913;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004PP0035;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;136;2;608072;0;0;519;519;-58.38082;-34.88994;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004PP0036;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;137;2;610183;251;0;497;748;-58.33418;-34.76152;Urbano;Urbano;88622;12;12;9;4-9;11
A BROWN;0004PP0037;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;PP;138;2;601352;165;0;800;965;-58.37910;-34.87911;Urbano;Urbano;88622;12;12;1;4-1;30
